session,amplitude,location,response_location,reaction_time
3,3.12,0,0,0.2737
3,3.12,0,13,0.5404
3,3.12,0,0,0.4001
3,3.12,0,0,0.3281
3,3.12,4,0,0.3769
3,3.12,15,15,0.4936
3,3.12,11,11,0.7485
3,3.12,13,13,0.5014
3,3.12,10,0,0.4924
3,3.12,4,4,0.6838
3,3.12,19,0,0.4415
3,3.12,17,0,0.3106
3,3.12,0,0,0.3361
3,3.12,14,14,0.723
3,3.12,0,0,0.4564
4,3.12,0,0,0.41
4,3.12,0,0,0.3043
4,3.12,0,0,0.278
4,3.12,0,0,0.3557
4,3.12,12,0,0.2801
4,3.12,0,17,0.7171
4,3.12,10,0,0.6164
4,3.12,0,0,0.4376
4,3.12,17,17,0.7402
4,3.12,0,0,0.3402
4,3.12,0,0,0.4044
4,3.12,0,0,0.3357
4,3.12,1,1,0.6246
4,3.12,4,0,0.3506
4,3.12,0,0,0.3684
4,3.12,0,0,0.6507
4,3.12,0,7,0.8904
4,3.12,18,0,0.3108
4,3.12,13,13,0.8902
4,3.12,10,10,0.6288
1,3.12,0,0,0.4517
1,3.12,0,0,0.4299
1,3.12,9,9,0.4541
1,3.12,19,0,0.3908
1,3.12,0,0,0.4284
1,3.12,5,0,0.5934
1,3.12,17,0,0.3323
1,3.12,12,0,0.7781
1,3.12,0,0,0.4768
1,3.12,0,0,0.5694
1,3.12,0,0,0.5045
1,3.12,0,0,0.4024
1,3.12,0,10,1.0523
1,3.12,9,9,0.462
1,3.12,4,4,1.2057
1,3.12,17,17,0.5557
1,3.12,5,0,0.3625
1,3.12,0,12,0.6546
1,3.12,0,0,0.9463
1,3.12,0,0,0.3508
2,3.12,7,15,0.9646
2,3.12,12,0,0.4608
2,3.12,5,0,0.4287
2,3.12,3,9,0.588
2,3.12,15,15,0.3029
2,3.12,1,1,0.3402
2,3.12,0,0,0.8921
2,3.12,0,0,0.5198
2,3.12,0,0,0.4081
2,3.12,0,0,0.5838
2,3.12,16,16,0.7258
2,3.12,15,9,0.7105
2,3.12,9,9,0.6424
2,3.12,19,19,0.6714
2,3.12,0,0,0.324
2,3.12,14,0,0.2845
2,3.12,17,0,0.6704
2,3.12,0,14,0.7926
2,3.12,17,0,0.3028
2,3.12,0,0,0.3619
3,3.12,0,0,0.5728
3,3.12,15,0,0.4525
3,3.12,0,0,0.56
3,3.12,0,0,0.5541
3,3.12,0,0,0.4875
3,3.12,0,0,0.3343
3,3.12,6,0,0.5265
3,3.12,17,17,0.7423
3,3.12,0,0,0.4244
3,3.12,0,18,1.0754
3,3.12,1,1,0.7064
3,3.12,13,13,0.7062
3,3.12,0,0,0.3581
3,3.12,2,2,0.779
3,3.12,0,0,0.6667
3,3.12,0,0,0.5044
3,3.12,0,0,0.8922
3,3.12,0,18,1.2397
3,3.12,0,4,0.8664
3,3.12,2,0,1.3024
4,3.12,6,0,0.6144
4,3.12,0,0,0.5191
4,3.12,0,0,0.3425
4,3.12,18,18,0.5561
4,3.12,0,4,0.9227
4,3.12,0,0,0.3279
4,3.12,6,0,0.379
4,3.12,0,3,0.5819
4,3.12,16,16,0.602
4,3.12,12,0,0.2908
4,3.12,0,0,0.5001
4,3.12,0,0,0.29
4,3.12,0,0,0.277
4,3.12,8,0,0.2943
4,3.12,0,0,0.3341
4,3.12,0,0,0.2986
4,3.12,0,0,0.671
4,3.12,16,0,0.4959
4,3.12,0,0,0.3579
4,3.12,0,0,0.3737
5,3.12,11,0,1.6786
5,3.12,0,0,0.7851
5,3.12,0,0,2.1859
5,3.12,0,3,1.4593
5,3.12,0,0,0.8515
5,3.12,0,0,0.6716
5,3.12,0,0,0.7468
5,3.12,0,17,1.2708
5,3.12,0,0,0.8663
5,3.12,0,0,0.6595
5,3.12,9,0,1.1372
5,3.12,18,0,1.026
5,3.12,0,0,0.7564
5,3.12,0,0,0.98
5,3.12,18,13,1.7236
5,3.12,15,15,0.5407
5,3.12,11,11,0.6862
5,3.12,6,0,1.022
5,3.12,0,0,0.6442
5,3.12,0,0,0.5366
6,3.12,0,0,0.5332
6,3.12,0,0,0.3206
6,3.12,1,1,0.5385
6,3.12,0,0,0.2797
6,3.12,12,0,0.4208
6,3.12,7,0,0.5119
