session,amplitude,sa,ss,pmf,presence,response_presence,reaction_time
1,15.0,0.16481,0.11823,1.11497,1,1,0.3988
1,15.0,0.13239,0.14098,1.20448,0,1,0.2294
1,15.0,0.15865,-0.01485,0.84657,0,0,0.2762
1,15.0,0.17297,0.00164,0.86487,0,1,0.2242
1,15.0,0.19025,-0.1169,1.22131,1,1,0.4027
1,15.0,0.184,-0.10481,0.97411,1,1,0.2802
1,15.0,0.16015,0.07957,1.30203,0,0,0.4168
1,15.0,0.13806,-0.04274,1.14485,0,1,0.3275
1,15.0,0.16617,-0.0344,1.61885,1,1,0.2462
1,15.0,0.12393,0.0005,0.97126,1,1,0.2199
1,15.0,0.18948,-0.06377,1.85679,0,0,0.413
1,15.0,0.13268,-0.09996,0.9212,1,1,0.348
1,15.0,0.14122,0.0158,1.06119,1,1,0.3058
1,15.0,0.13558,0.10729,1.19591,1,1,0.3059
1,15.0,0.14972,0.03049,0.84177,1,1,0.2294
1,15.0,0.16702,-0.16691,0.95994,0,0,0.349
1,15.0,0.17218,0.05059,0.85686,0,1,0.3937
1,15.0,0.17906,-0.08574,0.85767,1,1,0.3068
1,15.0,0.14786,0.12933,0.87642,1,1,0.2674
1,15.0,0.18755,-0.14758,0.81734,1,0,0.2671
1,15.0,0.12038,0.03783,2.14839,0,0,0.3146
1,15.0,0.14762,0.19148,0.79488,1,1,0.278
1,15.0,0.15581,-0.11428,1.11157,1,1,0.0
1,15.0,0.16176,-0.0587,1.27192,1,1,0.3336
1,15.0,0.12901,0.07852,0.91735,1,1,0.3842
1,15.0,0.15746,0.031,0.84967,1,1,0.317
1,15.0,0.14429,0.24966,0.87801,0,0,0.2866
1,15.0,0.16863,0.01417,0.87792,1,0,0.4392
1,15.0,0.18788,-0.04232,1.18441,1,1,0.2467
1,15.0,0.17204,-0.0101,0.945,1,1,0.3816
1,15.0,0.13838,0.09077,1.43716,0,0,0.3414
1,15.0,0.13707,0.13983,0.89752,0,0,0.348
1,15.0,0.17202,-0.16273,0.92999,1,1,0.3373
1,15.0,0.18292,-0.10746,1.12492,1,1,0.2114
1,15.0,0.13702,-0.03352,1.06071,0,0,0.2734
1,15.0,0.16777,-0.15382,0.83715,1,0,0.2964
1,15.0,0.15529,-0.06493,1.27578,1,1,0.4155
1,15.0,0.15306,0.02244,0.98248,0,0,0.2991
1,15.0,0.11641,0.02753,0.96626,0,0,0.285
1,15.0,0.15845,-0.0969,0.93674,1,1,0.3084
1,15.0,0.19214,0.08941,1.03263,0,0,0.2681
1,15.0,0.14689,-0.07424,1.01055,0,1,0.3226
1,15.0,0.14744,0.09887,1.04882,0,0,0.3204
1,15.0,0.15746,-0.22498,1.10429,0,0,0.3382
1,15.0,0.15107,-0.02818,0.99847,0,0,0.2479
1,15.0,0.21151,-0.04201,1.03718,1,0,0.3927
1,15.0,0.16086,-0.16748,1.57082,1,0,0.2076
1,15.0,0.18067,-0.08336,1.11875,0,0,0.3498
1,15.0,0.16459,-0.03997,1.74524,1,1,0.2855
1,15.0,0.15476,-0.09043,0.78741,0,0,0.2923
1,15.0,0.15375,0.15944,0.77668,1,1,0.2637
1,15.0,0.13628,-0.06615,0.94307,0,0,0.1615
1,15.0,0.13782,0.06234,1.09072,1,1,0.2645
1,15.0,0.18279,-0.0582,0.8989,1,1,0.2299
1,15.0,0.14269,0.07776,0.78341,0,0,0.3501
1,15.0,0.14558,-0.08552,1.0082,0,0,0.2737
1,15.0,0.16722,0.13252,0.75881,0,0,0.2692
1,15.0,0.15963,-0.01928,0.98065,1,1,0.2935
1,15.0,0.15028,0.06372,1.48857,0,0,0.1953
1,15.0,0.15736,0.09379,1.22307,0,0,0.2582
1,15.0,0.12678,-0.0067,1.31414,0,0,0.3692
1,15.0,0.20381,-0.08381,0.91701,1,1,0.3123
1,15.0,0.16347,0.01684,1.75642,1,0,0.2633
1,15.0,0.21105,-0.03412,2.00923,0,0,0.1824
1,15.0,0.17149,-0.1546,0.89534,0,0,0.1731
1,15.0,0.17161,0.02884,1.26483,1,1,0.3004
1,15.0,0.15492,-0.20539,0.84855,0,0,0.3293
1,15.0,0.19013,-0.00435,1.25105,0,0,0.3785
1,15.0,0.14895,-0.3016,2.37755,0,0,0.2643
1,15.0,0.16643,0.10617,0.92074,1,1,0.255
1,15.0,0.15674,-0.24563,0.84816,0,0,0.4355
1,15.0,0.18336,-0.06125,1.02062,1,1,0.2778
1,15.0,0.14269,-0.02706,0.75455,0,0,0.2221
1,15.0,0.14221,-0.02356,0.85379,1,1,0.253
1,15.0,0.12574,0.09915,0.90689,1,1,0.2509
1,15.0,0.15456,0.04352,0.81469,1,1,0.2426
1,15.0,0.13154,-0.04634,1.13967,0,0,0.2426
1,15.0,0.16178,0.04349,1.23345,1,1,0.1489
1,15.0,0.16032,-0.09418,0.93361,1,1,0.3046
1,15.0,0.14621,-0.02492,0.83378,1,1,0.1808
1,15.0,0.17214,-0.10733,0.929,0,0,0.2621
1,15.0,0.12727,0.10317,0.92802,1,1,0.1809
1,15.0,0.15515,-0.12426,0.78939,1,0,0.2601
1,15.0,0.12299,0.03704,1.2112,1,1,0.3126
1,15.0,0.12045,0.17691,0.79045,0,0,0.3146
1,15.0,0.13414,-0.02231,1.26507,0,0,0.2606
1,15.0,0.13279,-0.05346,1.01538,1,0,0.2652
1,15.0,0.16916,-0.075,1.10289,1,1,0.304
1,15.0,0.14293,-0.00561,0.70275,1,1,0.2071
1,15.0,0.17655,0.03928,1.1335,0,0,0.2922
1,15.0,0.17533,-0.01101,1.09765,1,1,0.1663
1,15.0,0.16216,0.13364,1.05874,0,0,0.3082
1,15.0,0.14966,0.08866,1.86478,0,1,0.2911
1,15.0,0.14045,0.19712,1.48859,0,0,0.2401
1,15.0,0.15783,-0.20414,0.79701,0,0,0.2975
1,15.0,0.14566,0.0332,3.87329,1,1,0.3237
1,15.0,0.17774,-0.08337,0.82193,0,0,0.2644
1,15.0,0.18404,-0.04651,0.82771,1,1,0.3666
1,15.0,0.14599,0.08501,1.02333,0,0,0.2614
1,15.0,0.1616,0.04733,1.00832,1,1,0.275
1,15.0,0.14915,0.17432,0.86936,1,1,0.2887
1,15.0,0.1186,0.12122,0.90359,0,0,0.2509
1,15.0,0.17641,-0.0352,0.91189,1,1,0.2727
1,15.0,0.19792,-0.14809,1.36342,1,1,0.2495
1,15.0,0.15922,0.01448,0.91451,1,1,0.241
1,15.0,0.13587,-0.11996,1.10538,1,1,0.4999
1,15.0,0.16603,0.07207,0.97614,0,0,0.3428
1,15.0,0.14582,0.14316,2.05003,0,0,0.3906
1,15.0,0.15742,0.16654,0.93871,0,0,0.2763
1,15.0,0.14247,-0.04846,1.01829,0,0,0.2681
1,15.0,0.13596,0.11174,1.46923,1,1,0.2911
1,15.0,0.13666,-0.13644,0.98447,0,0,0.2862
1,15.0,0.14262,0.02781,0.91457,0,0,0.2093
1,15.0,0.17548,0.05097,1.61745,0,0,0.3185
1,15.0,0.18276,0.0112,0.86726,0,0,0.2284
1,8.2222,0.13461,-0.07794,0.84919,0,0,0.3037
1,8.2222,0.12312,-0.06883,0.79979,1,1,0.2221
1,8.2222,0.13122,0.04545,5.17155,0,0,0.2016
1,8.2222,0.11567,0.06319,0.83247,0,1,0.1601
1,8.2222,0.12097,0.00238,0.79231,1,0,0.3139
1,8.2222,0.12767,-0.02034,0.93418,0,0,0.2747
1,8.2222,0.15014,-0.03972,0.93565,0,0,0.223
1,8.2222,0.13386,0.01995,0.96821,0,0,0.2107
1,8.2222,0.12185,0.00642,0.76738,1,0,0.1637
1,8.2222,0.13914,0.03896,4.73415,1,0,0.3001
1,8.2222,0.13595,0.00375,0.77886,1,1,0.3905
1,8.2222,0.12876,-0.02056,0.83544,1,1,0.2514
1,8.2222,0.12182,-0.01521,1.78568,0,0,0.2411
1,8.2222,0.13989,-0.07297,0.8208,1,0,0.1701
1,8.2222,0.13497,0.02969,0.97042,1,1,0.2856
1,8.2222,0.13086,-0.03423,1.07358,0,0,0.238
1,8.2222,0.13891,-0.01519,3.15701,0,0,0.2862
1,8.2222,0.1451,0.01769,0.94512,0,0,0.1988
1,8.2222,0.12232,0.11647,0.83733,1,0,0.086
1,8.2222,0.14207,0.00911,1.5254,0,0,0.2505
1,8.2222,0.11735,0.00953,0.84591,1,1,0.2472
1,8.2222,0.12562,0.02053,1.48184,1,1,0.2202
1,8.2222,0.12529,0.05743,0.83036,1,0,0.2721
1,8.2222,0.14257,-0.01139,0.961,1,1,0.4411
1,8.2222,0.13928,-0.04167,4.94629,0,0,0.2741
1,8.2222,0.13005,-0.03204,1.26681,1,1,0.2144
1,8.2222,0.14587,-0.0614,0.93096,0,0,0.1646
1,8.2222,0.12893,0.02524,0.91524,0,0,0.358
1,8.2222,0.13338,-0.03305,1.49586,0,0,0.2857
1,8.2222,0.11997,-0.04426,1.91428,0,1,0.2873
1,8.2222,0.13298,0.03093,0.91276,1,1,0.2477
1,8.2222,0.13611,-0.05382,0.81628,1,1,0.2651
1,8.2222,0.13761,-0.04221,1.08642,1,0,0.2706
1,8.2222,0.13529,0.06116,0.884,1,1,0.1954
1,8.2222,0.13948,-0.00736,0.86864,0,0,0.298
1,8.2222,0.12882,-0.02314,0.8116,0,1,0.2545
1,8.2222,0.1298,-0.02603,5.25502,0,0,0.3358
1,8.2222,0.09566,0.04507,2.08664,1,1,0.3444
1,8.2222,0.12651,0.01241,0.9307,1,1,0.3251
1,8.2222,0.13677,0.03361,0.81863,1,1,0.2102
1,8.2222,0.12369,0.01558,1.27368,1,1,0.2379
1,8.2222,0.13217,-0.06582,0.85383,0,0,0.2425
1,8.2222,0.12521,0.02721,0.83222,1,0,0.2957
1,8.2222,0.12729,-0.02197,0.92893,0,0,0.2674
1,8.2222,0.11091,0.03425,0.83805,1,1,0.2564
1,8.2222,0.11678,-0.00938,0.82159,0,0,0.2965
